=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.29 13:47:14 =~=~=~=~=~=~=~=~=~=~=~=
Sensor 1: 17.62 °C	Sensor 2: 23.94 °C	Sensor 3: 28.37 °C
Sensor 1: 17.56 °C	Sensor 2: 23.87 °C	Sensor 3: 28.44 °C
Sensor 1: 17.56 °C	Sensor 2: 23.87 °C	Sensor 3: 28.44 °C
Sensor 1: 17.50 °C	Sensor 2: 23.94 °C	Sensor 3: 28.50 °C
Sensor 1: 17.44 °C	Sensor 2: 23.87 °C	Sensor 3: 28.56 °C
Sensor 1: 17.37 °C	Sensor 2: 23.94 °C	Sensor 3: 28.56 °C
Sensor 1: 17.31 °C	Sensor 2: 23.87 °C	Sensor 3: 28.62 °C
Sensor 1: 17.25 °C	Sensor 2: 23.87 °C	Sensor 3: 28.62 °C
Sensor 1: 17.25 °C	Sensor 2: 23.94 °C	Sensor 3: 28.62 °C
Sensor 1: 17.19 °C	Sensor 2: 23.87 °C	Sensor 3: 28.69 °C
Sensor 1: 17.12 °C	Sensor 2: 23.94 °C	Sensor 3: 28.75 °C
Sensor 1: 17.06 °C	Sensor 2: 23.87 °C	Sensor 3: 28.75 °C
Sensor 1: 17.00 °C	Sensor 2: 23.87 °C	Sensor 3: 28.75 °C
Sensor 1: 17.00 °C	Sensor 2: 23.94 °C	Sensor 3: 28.75 °C
Sensor 1: 16.94 °C	Sensor 2: 23.94 °C	Sensor 3: 28.81 °C
Sensor 1: 16.87 °C	Sensor 2: 23.87 °C	Sensor 3: 28.81 °C
Sensor 1: 16.81 °C	Sensor 2: 23.87 °C	Sensor 3: 28.81 °C
Sensor 1: 16.81 °C	Sensor 2: 23.87 °C	Sensor 3: 28.87 °C
Sensor 1: 16.75 °C	Sensor 2: 23.87 °C	Sensor 3: 28.87 °C
Sensor 1: 16.69 °C	Sensor 2: 23.87 °C	Sensor 3: 28.87 °C
Sensor 1: 16.62 °C	Sensor 2: 23.87 °C	Sensor 3: 28.94 °C
Sensor 1: 16.62 °C	Sensor 2: 23.94 °C	Sensor 3: 28.94 °C
Sensor 1: 16.56 °C	Sensor 2: 23.94 °C	Sensor 3: 29.00 °C
Sensor 1: 16.50 °C	Sensor 2: 23.94 °C	Sensor 3: 28.94 °C
Sensor 1: 16.50 °C	Sensor 2: 23.94 °C	Sensor 3: 29.00 °C
Sensor 1: 16.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.00 °C
Sensor 1: 16.37 °C	Sensor 2: 23.94 °C	Sensor 3: 29.06 °C
Sensor 1: 16.37 °C	Sensor 2: 23.87 °C	Sensor 3: 29.06 °C
Sensor 1: 16.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.06 °C
Sensor 1: 16.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.12 °C
Sensor 1: 16.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.12 °C
Sensor 1: 16.19 °C	Sensor 2: 23.94 °C	Sensor 3: 29.12 °C
Sensor 1: 16.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.12 °C
Sensor 1: 16.12 °C	Sensor 2: 23.87 °C	Sensor 3: 29.12 °C
Sensor 1: 16.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 16.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 16.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 16.00 °C	Sensor 2: 23.94 °C	Sensor 3: 29.19 °C
Sensor 1: 15.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.88 °C	Sensor 2: 23.94 °C	Sensor 3: 29.19 °C
